,x,y,time,theta
284.0,5.5,767.0,17.718387603759766,0.2686208691894953
285.0,18.0,952.5,17.791642665863037,0.39624538787616753
286.0,18.0,952.5,17.81458353996277,0.39624538787616753
287.0,8.0,1021.5,17.90377974510193,0.4423082396964119
288.0,8.0,1021.5,17.926716327667236,0.4423082396964119
289.0,5.5,951.5,18.111353635787964,0.3955719812525266
290.0,5.5,951.5,18.134292125701904,0.3955719812525266
291.0,5.5,942.5,18.224334478378296,0.3895039332148897
292.0,5.5,942.5,18.249268531799316,0.3895039332148897
293.0,22.5,877.0,18.320061206817627,0.3449473598500071
294.0,22.5,877.0,18.342002868652344,0.3449473598500071
295.0,5.5,872.5,18.432382822036743,0.34186116104500536
296.0,5.5,872.5,18.45931053161621,0.34186116104500536
297.0,6.5,927.0,18.527488231658936,0.3790223828666704
298.0,6.5,927.0,18.551424741744995,0.3790223828666704
299.0,5.5,942.5,18.62367820739746,0.3895039332148897
300.0,5.5,942.5,18.64760661125183,0.3895039332148897
301.0,5.0,937.5,18.719877004623413,0.3861270652420385
302.0,5.0,937.5,18.741819143295288,0.3861270652420385
303.0,5.5,943.0,18.831589698791504,0.38984139526460754
304.0,5.5,943.0,18.854565858840942,0.38984139526460754
305.0,5.5,935.5,18.927632331848145,0.38477517554303925
306.0,5.5,935.5,18.95060443878174,0.38477517554303925
307.0,5.5,879.5,19.024117708206177,0.3466605416165884
308.0,5.5,879.5,19.0470552444458,0.3466605416165884
309.0,5.5,972.0,19.11915683746338,0.409343819463233
310.0,5.5,972.0,19.142093658447266,0.409343819463233
311.0,14.0,962.5,19.231603622436523,0.4029703899442491
312.0,14.0,962.5,19.25554132461548,0.4029703899442491
313.0,5.5,965.0,19.32834482192993,0.4046490589950526
314.0,5.5,965.0,19.35926580429077,0.4046490589950526
315.0,5.5,951.0,19.423093795776367,0.3952352162717557
316.0,5.5,951.0,19.45002055168152,0.3952352162717557
317.0,5.0,938.5,19.519835233688354,0.38680276545810105
318.0,5.0,938.5,19.547759532928467,0.38680276545810105
319.0,5.5,860.0,19.652660131454468,0.33327178753646086
320.0,5.5,860.0,19.710536241531372,0.33327178753646086
321.0,5.5,1030.0,19.759371757507324,0.4479270581514156
322.0,5.5,1030.0,19.78430438041687,0.4479270581514156
323.0,5.5,923.0,19.8735408782959,0.376311129938885
324.0,5.5,923.0,19.93237853050232,0.376311129938885
325.0,5.0,998.5,19.999906301498413,0.4270427773545891
326.0,5.0,998.5,20.02583885192871,0.4270427773545891
327.0,5.5,913.0,20.11177396774292,0.36952169109605254
328.0,5.5,913.0,20.13674235343933,0.36952169109605254
329.0,5.0,920.0,20.22456693649292,0.37427599185084287
330.0,5.0,920.0,20.249536275863647,0.37427599185084287
331.0,5.5,933.0,20.335631370544434,0.38308439702890223
332.0,5.5,933.0,20.360605001449585,0.38308439702890223
333.0,5.5,912.0,20.448206424713135,0.3688418615620895
334.0,5.5,912.0,20.470144271850586,0.3688418615620895
335.0,5.5,951.5,20.559524536132812,0.3955719812525266
336.0,5.5,951.5,20.582460641860962,0.3955719812525266
337.0,5.5,898.0,20.671861171722412,0.35930742801698484
338.0,5.5,898.0,20.696795225143433,0.35930742801698484
339.0,5.5,888.0,20.783993005752563,0.35247799744931124
340.0,5.5,888.0,20.808926105499268,0.35247799744931124
341.0,5.5,871.5,20.912041187286377,0.34117490832284897
342.0,5.5,871.5,20.936975955963135,0.34117490832284897
343.0,5.5,908.0,21.024030208587646,0.3661209381460557
344.0,5.5,908.0,21.047966718673706,0.3661209381460557
345.0,5.5,909.0,21.136310815811157,0.36680140959104196
346.0,5.5,909.0,21.161195516586304,0.36680140959104196
347.0,5.0,903.5,21.24834108352661,0.36305683530901683
348.0,5.0,903.5,21.27031683921814,0.36305683530901683
349.0,5.5,907.5,21.36016058921814,0.3657806423325149
350.0,5.5,907.5,21.38409447669983,0.3657806423325149
351.0,5.5,920.5,21.471843242645264,0.3746152824940437
352.0,5.5,920.5,21.49477982521057,0.3746152824940437
353.0,5.5,927.5,21.567589044570923,0.37936110723696154
354.0,5.5,927.5,21.590349197387695,0.37936110723696154
355.0,10.400000095367432,906.0,21.679310083389282,0.3647595146793335
356.0,10.400000095367432,906.0,21.705276012420654,0.3647595146793335
357.0,5.5,912.0,21.791099548339844,0.3688418615620895
358.0,5.5,912.0,21.81403946876526,0.3688418615620895
359.0,12.5,956.5,21.90333604812622,0.39893736817405073
360.0,12.5,956.5,21.926271677017212,0.39893736817405073
361.0,5.5,916.0,22.01624631881714,0.3715602149269224
362.0,5.5,916.0,22.041178464889526,0.3715602149269224
363.0,5.5,900.5,22.112181901931763,0.36101230210807317
364.0,5.5,900.5,22.135157346725464,0.36101230210807317
365.0,5.5,875.5,22.224658966064453,0.3439189796824959
366.0,5.5,875.5,22.255576848983765,0.3439189796824959
367.0,5.5,912.0,22.335641145706177,0.3688418615620895
368.0,5.5,912.0,22.358614444732666,0.3688418615620895
369.0,5.5,877.0,22.44867491722107,0.3449473598500071
370.0,5.5,877.0,22.47959065437317,0.3449473598500071
371.0,5.5,902.0,22.543140172958374,0.36203474827690235
372.0,5.5,902.0,22.56611132621765,0.36203474827690235
373.0,5.0,909.0,22.656425952911377,0.36680140959104196
374.0,5.0,909.0,22.68356227874756,0.36680140959104196
375.0,5.0,912.0,22.76826310157776,0.3688418615620895
376.0,5.0,912.0,22.791239976882935,0.3688418615620895
377.0,5.0,993.0,22.879735708236694,0.423379091432124
378.0,5.0,993.0,22.907662868499756,0.423379091432124
379.0,5.5,932.0,22.975279331207275,0.382407800831477
